logP,apKa1,apKa2,bpKa1,bpKa2,SMILES
3.46,9.8,10.44,-5.46,-5.49,OC1=CC=C(CC2=C(O)C=CC=C2)C=C1
3.59,3.72,7.32,3.09,-7.24,CCN(CC)C1=CC(O)=C(C=C1)C(=O)C2=C(C=CC=C2)C(O)=O
-1.39,-0.96,15.07,-0.19,NA,CC(C)(CS(O)(=O)=O)NC(=O)C=C
-2.38,12.05,NA,-1.72,-3.75,NC1=NN=C(O1)C2=CC=C(O2)[N]([O])=O
-1.52,9.61,NA,1.84,-6.09,NC1=C(O)C=C(C=C1)[N]([O])=O
-0.39,16.37,NA,4.26,-8.06,NC1=NC2=CC=C(C=C2S1)[N]([O])=O
1.11,12.56,NA,8.11,-5.98,NC1=NC2=CC=CC=C2N1
3.92,8.83,NA,-6.29,NA,OC1=CC(Cl)=C(C=C1)C2=CC=CC=C2
0.6,9.64,NA,1.58,NA,CC(C)C1=NC(=O)C=C(C)N1
2.89,7.46,NA,1.26,NA,SC1=NC2=C(S1)C=CC=C2
-2.54,5.98,NA,-7.46,-9.65,CC1=C(O)C(=CC(=C1)[N]([O])=O)[N]([O])=O
6.76,13.04,13.64,-3.67,-4.27,O=C(NC1=CC=CC=C1SSC2=C(NC(=O)C3=CC=CC=C3)C=CC=C2)C4=CC=CC=C4
3.52,6.75,7.38,-6.63,-6.63,OC1=CC(O)=C(C=C1)C(=O)C2=CC=C(O)C=C2O
6.46,6.27,6.88,-7.47,-7.47,CC(C)(C1=CC(Cl)=C(O)C(Cl)=C1)C2=CC(Cl)=C(O)C(Cl)=C2
0.37,0.41,4.04,5.53,NA,OC(=O)C1=C(N=C2C=CC=CC2=C1)C(O)=O
2.5,2.81,NA,-4.94,NA,OC(=O)COC1=C(Cl)C=C(Cl)C=C1
-3.06,5.59,NA,-7.48,-9.46,OC1=C(C=C(C=C1)[N]([O])=O)[N]([O])=O
3.17,7.01,7.87,-6.63,-6.92,OC1=CC=C(C=C1)C(=O)C2=CC=C(O)C=C2O
3.11,2.56,NA,-4.95,NA,OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=C1
3.17,4.03,NA,NA,NA,CC1=CC(C)=C(C(O)=O)C(C)=C1
0.48,2.69,NA,NA,NA,OC(=O)C1=C(Cl)C(=CC(Cl)=C1)[N]([O])=O
2.18,-1.94,NA,NA,NA,CC1=CC=C(C)C(=C1)S(O)(=O)=O
2.4,8.97,NA,-6.09,-9.46,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)[N]([O])=O
2.21,14,14.6,-4.09,-4.69,CC(=O)NC1=CC=C2C(CC3=C2C=CC(NC(C)=O)=C3)=C1
2.97,2.69,12.83,-6.31,NA,OC(=O)C1=CC2=C(C=CC=C2)C=C1O
1.39,7.7,15.55,-4.28,-6.27,OC1=CC2=C(C=CC=C2)C=C1C(=O)NC3=CC=CC(=C3)[N]([O])=O
3.13,3.82,NA,-3.7,NA,OC(=O)C1=CC(OC2=CC=CC=C2)=CC=C1
0.18,7.34,NA,-6.99,-9.13,OC1=CC(=C(C=C1)[N]([O])=O)C(F)(F)F
7.12,6.57,7.18,-7.38,-7.38,CC(C)(C1=CC(Br)=C(O)C(Br)=C1)C2=CC(Br)=C(O)C(Br)=C2
2.8,0.3,8.49,9.48,-3.79,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
-0.18,10.28,13.92,-4.42,NA,CC(=O)NC1=CC=C(C=C1)S(N)(=O)=O
1.53,7.55,NA,2.62,-3.87,CC(C)(C)C1=NNC(=S)N(N)C1=O
2.23,4.07,NA,NA,NA,OC(=O)C1=CC=C(Cl)C=C1
2.27,8.96,NA,-6.26,NA,OC1=CC=C(Cl)C=C1
1.9,3.14,NA,-4.89,NA,OC(=O)COC1=CC=C(Cl)C=C1
0.7,2.89,NA,-6.83,NA,CCOC(=O)C=CC(O)=O
1.22,7.81,NA,-4.9,-6.56,COC1=C(O)C=CC(C=O)=C1
1.23,7.79,16.71,-6.93,-7.37,CC(=O)C1=CC=C(O)C=C1
1.78,7.8,NA,-6.95,-7.21,CC1=CC(=O)OC2=C1C=CC(O)=C2
1.05,17.5,NA,-2.29,NA,[O][N](=O)C1=CC=C(NC2=CC=CC=C2)C=C1
-0.91,4.55,18.07,0.9,NA,NC1=C(C=CC(=C1)[N]([O])=O)C(O)=O
3.49,19.2,NA,2.77,-2.31,O=NC1=CC=C(NC2=CC=CC=C2)C=C1
5.74,10.31,NA,-5.44,NA,CCCCCCCCCC1=CC=C(O)C=C1
3.17,9.7,NA,-3.68,-5.91,OC1=CC=C(OC2=CC=CC=C2)C=C1
5.99,9.57,10.18,-5.48,-5.48,OC1=CC=C(C=C1)C2(C3=C(C=CC=C3)C4=C2C=CC=C4)C5=CC=C(O)C=C5
2.32,7.42,8.03,-6.58,-6.58,OC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(O)C=C2
4.88,9.49,9.97,-5.47,-5.47,CC(C1=CC=C(O)C=C1)(C2=CC=C(O)C=C2)C3=CC=C(O)C=C3
1.25,4.3,NA,-0.89,-3.18,N1N=NN=C1C2=CC=CC=C2
-0.17,7.49,11.16,NA,NA,CC1(C)C(=O)NC(=O)NC1=O
2.15,8.49,18.28,-9.05,NA,O=C1NC(=O)C(N1)(C2=CC=CC=C2)C3=CC=CC=C3
4.76,7.87,NA,-1.52,-5.21,CC(C)C1=CC=CC(C(C)C)=C1N2C(=O)C3=C(C=C(O)C=C3)C2=O
1.94,9.48,NA,-2.05,NA,ClC1=CC2=C(NC(=O)O2)C=C1
4.03,9.55,NA,-6.02,NA,CC(C)C1=CC(Cl)=C(C)C=C1O
5.95,9.48,10.08,-5.5,-5.5,OC1=CC2=CC=C(SSC3=CC4=CC=C(O)C=C4C=C3)C=C2C=C1
-1.1,11.86,NA,5.16,NA,[O][N](=O)C1=CC2=C(NC=N2)C=C1
1.2,8.09,12.89,-2.92,NA,CCCC1=CC(=O)NC(=S)N1
-0.6,NA,NA,NA,NA,CC1=CC(=O)[N]S(=O)(=O)O1
1.81,4.31,15.77,-7.42,NA,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
2.25,2.9,NA,-3.73,NA,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N]([O])=O
2.84,7.8,8.46,-2.95,-5.65,OCC1=CC2=C(C(O)=C1)C(=O)C3=C(C=CC=C3O)C2=O
2.71,6.57,8.07,-5.38,-6.37,OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(O)C=C3O
1.48,4.3,11.07,7.94,-3.19,CCCCN1C(=O)[C@H](NC(=O)C12CCN(CC3=CC=C(OC4=CC=C(C=C4)C(O)=O)C=C3)CC2)[C@H](O)C5CCCCC5
5.39,4.31,14.77,-2.74,-2.84,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC=C4
3.38,3.25,9.86,4.41,-8.5,OC(=O)C1CCN(CC1)C2=C(NC(=O)NC(=O)C3=CC(F)=C(F)C=C3Cl)C=C(F)C=C2
2.37,13.73,NA,8.57,0.38,[O]C(=O)C1=CC=C2N(CC3=NOC(=C3)C4=CC=C(Cl)S4)C(=NC2=C1)C(=O)NC5CCN(CC5)C6CC6
4.72,13.32,NA,-0.19,-1.76,CC[C@H](NC(=O)C1=C([N]S(=O)(=O)C2=CC=CC3=CC=CN=C23)C=CC(F)=C1)C4=CC=CC=C4
5.45,15.56,NA,9.13,0.19,CCOC(=O)O[C@H](C)OC(=O)C1=CC=C2N(CC3=NOC(=C3)C4=CC=C(Cl)S4)C(=CC2=C1)C(=O)NC5CCN(CC5)C(C)C
3.99,15.36,NA,-4.13,NA,IC1=C(C=CC=C1)C(=O)NC2=CC=CC=C2
3.45,10.18,NA,NA,NA,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1
3.4,8.5,NA,-6.06,-6.89,OC1=CC=C(C=C1)C(=O)OCC2=CC=CC=C2
2.92,9.38,15.48,7.86,-2.23,FC1=CC=C(CC2CCN(CCS(=O)C3=CC=C4NC(=O)OC4=C3)CC2)C=C1
6.94,4.07,NA,NA,NA,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(O)=O)C(C)(C)CCC2(C)C
3.99,3.83,14.75,-0.84,-4.92,CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O
2.71,11.78,13.22,-4.04,-8.26,CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F
3.22,6.55,8.15,-4.72,-5.48,COC1=CC=C(C=C1)C2=COC3=C(C(O)=CC(O)=C3)C2=O
4.77,9.13,9.74,-5.55,-5.55,OC1=CC=C(C=C1)C(C2=CC=C(O)C=C2)(C(F)(F)F)C(F)(F)F
5.97,4.59,5.23,-7.23,-7.23,OC1=C(Cl)C=C(Cl)C=C1SC2=C(O)C(Cl)=CC(Cl)=C2
3.06,5.11,NA,-8.58,NA,OC1=C(Br)C=C(C=C1Br)C#N
2.57,13.31,NA,-3.61,NA,CC(C#C)N(C)C(=O)NC1=CC=C(Cl)C=C1
4.68,4.29,15.24,0.48,-3.83,COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]2CC[C@H](CC2)C(O)=O)C(=O)OC3=CC4=C(CCC4)C=C3
2.27,12.7,13.4,-1.02,-3.56,CC(=O)C1=CC2=C(OC(C)(C)[C@H](O)[C@H]2NC(=O)C3=CC=C(F)C=C3)C=C1
1.65,13,15.06,-0.98,-6.84,CCNC(=O)C(C)OC(=O)NC1=CC=CC=C1
0.95,4.35,18.08,2.11,NA,CCCCNC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
1.07,2.22,7.18,-3.64,-3.65,CC1=C2C(=O)C3=C(C(O)=C(O)C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C3O)C(=O)C2=CC(O)=C1C(O)=O
0.87,3.59,NA,7.42,1.55,OC(=O)COCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3
-1.42,8.72,13.67,-2.79,-3.36,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N]([O])=O
2.85,11.88,NA,-4.68,NA,CON(C)C(=O)NC1=CC(Cl)=C(Br)C=C1
0.92,19.07,NA,-2.44,NA,CN1C(C2=CC=C(Cl)C=C2)S(=O)(=O)CCC1=O
