logP,apKa1,apKa2,bpKa1,bpKa2,SMILES
4.75,9.9,NA,-3.15,-4.88,COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C
4.27,11.97,NA,-1.17,-4.89,NC(=O)C1=NC(=N[N]1)C2=CC=CC(=C2)C3=CC(F)=CC=C3OCC(F)(F)C(F)(F)F
5.45,18.94,19.9,4.32,-4.48,CCCCC1=NC2=C(C=C1)[C@@H]([C@H]([C@@H]2C3=CC=C(OC)C=C3C[C@H](C)C([O])=O)C([O])=O)C4=CC5=C(OCO5)C=C4
3.7,1.7,NA,11.46,9.57,CCN1N=C(CC2=CC=CC=C2)C=C1C3CCN(C[C@H]4C[C@@H](C[C@@H]4C5=CC=CC(F)=C5)N(C)[C@H](C(C)C)C(O)=O)CC3
3.36,3.08,NA,-6.97,NA,OC(=O)C1=C(C=CC=C1)C(=O)OCC2=CC=CC=C2
2.08,12.12,NA,-4.68,NA,CON(C)C(=O)NC1=CC=C(Cl)C=C1
2.31,13.31,NA,-3.44,NA,CNC(=O)NC1=CC(Cl)=C(Cl)C=C1
1.63,10.84,16.01,-4.83,-6.51,CCOC1=CC=C(NC(=O)CC(C)=O)C=C1
1.28,10.84,16.01,-4.81,-6.51,COC1=CC=C(NC(=O)CC(C)=O)C=C1
1.3,6.12,NA,0.86,-3.2,C(NC1=C2N=CN=C2N=CN1)C3=CC=CC=C3
1.73,15.83,NA,-1.08,NA,CCCCNC(=O)NCCCC
3.57,14.17,17.87,NA,NA,S=C(NC1CCCCC1)NC2CCCCC2
2.69,14.81,NA,3.75,-2.88,COC1=CC(OC)=C(C=C1)S(=O)(=O)N2C(=O)[C@@](N3C[C@H](O)C[C@H]3C(=O)N(C)C)(C4=CC(Cl)=CC=C24)C5=CC=CC=C5OC
1.26,16.97,NA,8.1,-6.75,COC(=O)C1=C(C)NC(C)=C(C1C2=CC(=CC=C2)[N]([O])=O)C(=O)OCCN(C)CC3=CC=CC=C3
-0.05,15.01,NA,-4.26,NA,CC1(C)NC(=O)N(C1=O)C2=CC(=C(C=C2)[N]([O])=O)C(F)(F)F
3.82,9.93,15.95,-1.42,-4.89,CCCCCCCCC(=O)NCC1=CC(OC)=C(O)C=C1
2.42,NA,NA,-3.37,-8.49,CNC1=C(Cl)C(=O)N(N=C1)C2=CC=CC(=C2)C(F)(F)F
6.24,9.05,16.16,-4.81,-5.47,FC(OC(F)(F)F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1
4.78,8.5,NA,-6.06,-6.88,CCCCCCCCOC(=O)C1=CC=C(O)C=C1
5.9,4.12,NA,-1.44,NA,CCCCCCCC/C=C\CCCCCCCC(=O)N(C)CC(O)=O
3.66,9.36,10.81,-5.67,-5.67,CCCCCC1=CC(O)=CC(O)=C1
-2.28,10.38,NA,0.9,NA,CCCN(CCC)C1=C(C=C(C=C1[N]([O])=O)S(N)(=O)=O)[N]([O])=O
2.92,10.61,12.47,-1.47,-4.69,OC1N=C(C2=CC=CC=C2)C3=CC(Cl)=CC=C3NC1=O
0.17,12.47,NA,-3.22,-7.96,CC1=C(C(=O)NC2=CC=CC=C2)S(=O)(=O)CCO1
2.39,14.56,NA,3.55,-2.23,COC1=C(OC)C(CS(=O)C2=NC3=C([N]2)C=CC(OC(F)F)=C3)=NC=C1
4.06,4.34,NA,0.93,-5.03,CC1=C(CCOC2=CC=CC3=C2C=CN3CCC(O)=O)N=C(O1)C4=CC=CC=C4
2.69,6.55,NA,-1.38,-4.59,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12
4.69,4.98,NA,-8.45,NA,OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
4.85,3.37,NA,NA,NA,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1,8.59,13.48,1.18,-2.74,CCN1N=C(C)C2=C1C(=O)NCC(=N2)C3=CC=C(O)C=C3
1.52,4.18,NA,7.52,2.37,CC1=NC=C(C=N1)[C@@H](CCCCCCC2=NC3=C(CCCN3)C=C2)CC(O)=O
2.4,9.75,16.62,2.74,-2.53,CC1=C2N=C(C3=CC=CC=C3Cl)C4=C(NC2=NN1)C=CC(=C4)[N]([O])=O
2.79,11.19,16.11,0.08,-2.5,CS(=O)(=O)C1=CC=C(C=C1Cl)[C@@H](CC2CCCC2)C(=O)NC3=NC=CN=C3
3.61,NA,NA,NA,NA,FC1=CC=C(C(=O)[N]S(=O)(=O)/C=C/C2=CC=CC=C2)C(Cl)=C1
3.47,4.29,NA,-9.6,NA,FC1=CC(Br)=C(C=C1)C(=O)NS(=O)(=O)/C=C/C2=CC=CS2
2.24,9.18,NA,-7.93,NA,CCC1(C(=O)NC([O])=NC1=O)C2=CC=CC=C2
4.35,9.16,9.76,-5.96,-5.96,OC1=CC=C(C=C1)C2(OC(=O)C3=C2C=CC=C3)C4=CC=C(O)C=C4
4.97,9.28,NA,-4.41,-7.12,OC1=C(C=CC2=C1C=CC=C2)C(=O)OC3=CC=CC=C3
3.33,6.66,16.49,5.6,-5.49,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1
1.61,11.19,16.11,0.08,-2.5,CS(=O)(=O)C1=CC=C(C=C1Cl)[C@@H](C[C@H]2CCC(=O)C2)C(=O)NC3=NC=CN=C3
3.6,2.67,15.47,3.77,-2.49,CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1
1.93,9.75,NA,-5.5,NA,OC1=CC2=C(C=C1)C=C(C=C2)S([O])(=O)=O
1.11,14.46,14.98,-2.72,-2.83,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC([O])=O)[C@@H]12
2.44,3.53,NA,NA,NA,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O
2.18,NA,NA,3.04,2.43,NC1=CC=C(C=C1)C(=O)OCCCOC(=O)C2=CC=C(N)C=C2
2.24,NA,NA,-5.1,-6.46,CCCOC1=NN(C(=O)[N]S(=O)(=O)C2=C(C=CC=C2)C(=O)OC)C(=O)N1C
1.95,8.11,11.29,-5.55,-5.55,CCCOC(=O)C1=CC(O)=C(O)C(O)=C1
2.55,8.5,NA,-6.06,-6.88,CCCOC(=O)C1=CC=C(O)C=C1
-0.75,13.47,NA,4.82,-3.58,[O][N](=O)C1=CC=C(NC(=O)NCC2=CC=CN=C2)C=C1
5.46,9,9.59,8.42,-5.52,OC1=CC=C(C=C1)C2=C(C(=O)C3=CC=C(OCCN4CCCCC4)C=C3)C5=CC=C(O)C=C5S2
1.98,2.79,13.23,-6.29,NA,OC(=O)C1=C(O)C=CC=C1
5.42,15.47,16.89,-4.12,NA,FC1=CC=C2N(CC3=CC(F)=CC=C3)C(=CC2=C1)C(=O)NC4=CC=C5NC=CC5=C4
4.2,11.77,NA,5.44,0.88,CC1=CC2=C(C=C1C(F)(F)F)N(CC2)C(=O)NC3=CC=C(OC4=CC=CN=C4C)N=C3
2.97,8.5,NA,-6.06,-6.89,CCC(C)OC(=O)C1=CC=C(O)C=C1
2.23,NA,NA,NA,NA,[O]S(=O)(=O)C1=CC=CC2=C1C=CC=C2
-2.31,NA,NA,-9.14,NA,[O]C1=CC=C(C=C1)[N]([O])=O
2.02,19.32,NA,-6.9,-7.52,CC(=O)CC(C1=CC=CC=C1)C2=C([O])C3=CC=CC=C3OC2=O
5.49,10.23,12.1,9.58,-2.34,COC1=CC2=CC=C(C=C2C=C1)S(=O)(=O)N[C@H](CC(=O)N[C@H](CC3=CC=C(CN4[C@@H](C)CCC[C@H]4C)C=C3)C(=O)N(C)C(C)C)C5=CC6=C(OCO6)C=C5
4.71,13.84,NA,2.4,-4.84,COC1=CC=C(C=C1)C(=O)NC2=C(C#N)C(NCC3=CC=CC=C3)=C4C=CC=CC4=N2
-0.47,11.91,12.5,-2.97,-3.67,OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl
4.25,3.23,6.75,0.55,-0.32,OC(=O)C1=CC(=CC=C1O)/N=N/C2=CC=C(C=C2)S(=O)(=O)NC3=NC=CC=C3
0.98,6.93,NA,2.04,0.35,NC1=CC=C(C=C1)S(=O)(=O)NC2=NC=CS2
0.73,5.8,NA,2.17,1.42,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
6.98,10.64,12.99,0.58,-3.69,CC(C)[C@@H](NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(=O)OC(C#N)C2=CC(OC3=CC=CC=C3)=CC=C2
5.35,10.13,NA,-3.19,NA,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C
2.59,6.85,16.14,-4.22,-7.29,CS(=O)(=O)C1=C(COCC(F)(F)F)C(Cl)=C(C=C1)C(=O)C2C(=O)CCCC2=O
2.78,7.51,8.23,NA,NA,COC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OC)C=CC=C1
3.15,5.08,9.42,-0.31,-4.61,CCCC1=C(OCCCCC2=NN=NN2)C=CC(C(C)=O)=C1O
0.13,11.09,NA,-3.72,-4.2,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
5.07,6.16,15.4,-4.33,-7.28,OC1=C(Br)C=C(Br)C=C1C(=O)NC2=CC=C(Br)C=C2
2.7,2.28,NA,-3.49,NA,OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1
3.6,4.65,5.25,NA,NA,OC(=O)CCCCCCCCCCCC(O)=O
3.58,NA,NA,5.86,3.03,CCCOC/C(=N\C1=C(C=C(Cl)C=C1)C(F)(F)F)/N2C=CN=C2
2.3,5.23,19.38,-0.88,-4.28,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C[C@]35C)C#N)[C@@H]1CC[C@@H]2O
4.28,NA,NA,-9.09,NA,ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl
5.5,6.61,10.79,-4.56,-5.18,CC1=C(O)C(C)=C2CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)OC2=C1C
2.8,4.28,NA,5.1,NA,CC1=C(C2=C(C=CC=C2)N1CCCCC(O)=O)C3=CN=CC=C3
3.57,10.3,NA,8.85,NA,CN[C@H]1CC[C@@H](C2=CC=C(Cl)C(Cl)=C2)C3=CC=C(C=C13)S(N)(=O)=O
3.16,10.35,NA,7.27,-4.63,CSC1=CC=C(OC2=CC=C(C=C2CN(C)C)S(N)(=O)=O)C=C1C
2.71,4.65,5.25,NA,NA,OC(=O)CCCCCCCCCC(O)=O
4.37,8.54,10.38,-4.02,-5.78,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(O)=CC(O)=C2)C(=O)O1
3.55,3.41,NA,-7.43,NA,OC(=O)CN1C(=O)N(CC2=CC=C(Br)C=C2F)C(=O)C3=C1C=C(Cl)C=C3
-3.39,13.63,NA,-0.5,NA,CC1=C(C=C(C=C1C(N)=O)[N]([O])=O)[N]([O])=O
3.8,12.05,NA,-5.6,NA,ClC1=CC=CC(Cl)=C1N2C(=O)CC3=C2C=CC=C3
3.25,19.67,NA,1.5,-8.43,CC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1N
1.44,NA,NA,-0.95,NA,O=C1CCCN1C2CCCCC2
3.3,13.62,15.56,-2.97,-3.38,CCCCCCCCCCCC(=O)OCC(O)CO
2.66,9.6,NA,-5.59,NA,OC1=CC=CC2=CC=CC=C12
4.49,NA,NA,-4.55,-5.18,CC1=CC(OCCOC2=CC=CC(C)=C2)=CC=C1
2.25,NA,NA,-8.29,-9.92,O=C1CCCCCN1SSN2CCCCCC2=O
4.22,NA,NA,4.98,NA,CC1=NC2=C(C3=C(C=CC=C3)C=C2)C1(C)C
3.37,15.42,NA,-7.52,NA,O=C(CC1=CC=CC=C1)C2=CC=CC=C2
3.13,NA,NA,9.38,-3.93,N=C(NC1=CC=CC=C1)NC2=CC=CC=C2
0.63,15.66,NA,-1.3,NA,CC(C)NC(=O)NC(C)C
4.71,NA,NA,4.71,1.81,CC(C)NC1=CC=C(NC(C)C)C2=C1C(=O)C3=CC=CC=C3C2=O
3.19,9.43,NA,-0.84,-3.9,CC1=CC(N2N=C3C=CC=CC3=N2)=C(O)C=C1
3.61,NA,NA,5.59,NA,C(CC1=CC=CC=C1)CC2=CC=CC=N2
2.49,NA,NA,-2.33,NA,CCN(CC#N)C1=CC(C)=CC=C1
2.26,15.58,NA,3.92,-2.55,CCN(CCO)C1=CC(C)=CC=C1
4.89,NA,NA,-7.61,NA,CC(C)C1=CC2=C(SC3=C(C=CC=C3)C2=O)C=C1
3.69,NA,NA,1.02,NA,N#CSCSC1=NC2=CC=CC=C2S1
4.58,NA,NA,2.99,0.5,CC1=C(N)C=CC(=C1)N=NC2=C(C)C=CC=C2
1.81,16.5,NA,4.72,-5.41,COC1=CC2=C(C=C1)N=C(N)S2
1.91,16.1,NA,3.68,-8.38,NC1=NC2=CC=C(C=C2S1)[N+]([O-])=O
2,17.66,NA,1.53,NA,CN(C1CCCCC1)S(=O)(=O)C2=CC=CC=C2N
4.6,NA,NA,-4.49,NA,CCCCCCC(C=O)=CC1=CC=CC=C1
3.61,13.48,NA,-4.38,NA,[O-][N+](=O)C1=CC=C(Cl)C(=C1)C(=O)NC2=CC=CC=C2
5.11,NA,NA,2.9,-8.27,CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C
6.45,NA,NA,-9.28,NA,CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2
2.91,10.5,NA,-5.23,NA,CC(C)C1=C(O)C=CC=C1
2.83,NA,NA,5.27,-8.11,CSC1=CC=C(C=C1)C(=O)C(C)(C)N2CCOCC2
0.55,NA,NA,-7.04,NA,O=C1OC(=O)C2C3CC(C=C3)C12
1.31,15.28,15.88,-0.08,-2.55,OCCN(CCO)C1=CC(Cl)=CC=C1
-0.86,14.37,14.82,-2.81,-2.81,CCC(CO)(CO)COCC(CC)(CO)CO
4.58,15.29,15.89,9.23,-2.54,CCCCCCCCCCCCCCN(CCO)CCO
1.72,NA,NA,4.5,-8.04,CC1(C)CC2=C(O1)C(N)=CC=C2
6.12,NA,NA,-6.59,-7.2,CC(C)C(OC(=O)C1=CC=CC=C1)C(C)(C)COC(=O)C2=CC=CC=C2
3.48,7.09,8.72,-6.63,-6.92,OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1
3.61,NA,NA,-2.27,-6.17,C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1
2.49,NA,NA,10.14,-4.3,CCCCCCCCOCCCN
1.78,9.78,NA,3.94,-5.98,CN(C)C1=CC=CC(O)=C1
1.25,14.58,15.7,-2.6,-4.45,CCOC1=CC=C(NC(=O)CC(C)O)C=C1
3.69,7.7,15.07,-4.31,-6.27,OC1=CC2=C(C=CC=C2)C=C1C(=O)NC3=CC=CC(=C3)[N+]([O-])=O
1.65,NA,NA,4.55,3.57,COC1=CC(=CC=C1N)C2=CC(OC)=C(N)C=C2
1.27,NA,NA,2.66,1.87,NC1=CC=CC(=C1)S(=O)(=O)C2=CC(N)=CC=C2
4.02,NA,NA,4.43,3.43,CC1=CC(=CC(C)=C1N)C2=CC(C)=C(N)C(C)=C2
2.09,13.45,NA,-3.63,NA,NC(=O)NC1=CC=C(Cl)C(Cl)=C1
2.2,NA,NA,-3.43,-4.3,CCOC1=CC(=C(OCC)C=C1N2CCOCC2)[N+]([O-])=O
3.74,NA,NA,5.72,NA,C(CC1=CC=CC=C1)CC2=CC=NC=C2
1.99,19.59,NA,-6.9,-7.52,CC(=O)CCC1=CC=C(OC(C)=O)C=C1
2.38,NA,NA,4.17,NA,CN(C)C1=CC=C(SC#N)C=C1
4.15,3.28,9.42,-4.38,-4.86,CCCC1=C(OCCCOC2=CC=C(OCC(O)=O)C=C2)C=CC(C(C)=O)=C1O
1.32,7.39,18.47,2.1,-5.85,COC1=CC(N)=C(OC)C=C1S(=O)(=O)NC2=CC=CC=C2
3.55,NA,NA,3.06,0.35,NC1=CC=C(C=C1)/N=N/C2=CC=CC=C2
3.93,18.52,NA,-4.82,-7.48,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
1.48,13.73,NA,-3.57,NA,NC(=O)NC1=CC=C(Cl)C=C1
1.15,NA,NA,3.66,-3.5,CN(C)C1=C(C)N(C)N(C1=O)C2=CC=CC=C2
3.88,NA,NA,4.82,NA,CCCCCCC1=CC=C(N)C=C1
3.2,NA,NA,5.1,-6.66,CCCCCCOC1=CC=C(N)C=C1
1.33,4.38,9.67,-6.06,NA,OC(=O)C1=CC=C(O)C=C1
3.77,NA,NA,1.8,-6.31,COC1=CC=C(NC2=CC=CC=C2)C(C)=C1
3.44,NA,NA,4.91,NA,CCCCCC1=CC=C(N)C=C1
6.24,NA,NA,4.3,3.51,CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2)=CC(CC)=C1N
4.28,NA,NA,5.44,4.83,CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1
1.91,8.53,NA,0.42,-9.56,ClC1=CC2=C(NN=N2)C=C1
3.37,7.39,15.8,-4.3,-6.55,OC1=C(C=C(Cl)C=C1)C(=O)NC2=CC=CC=C2
1.78,NA,NA,-2.83,-4.97,COC1=C2C=COC2=CC3=C1C=CC(=O)O3
3.96,NA,NA,-5.37,-8,O=C1C=C(OC2=C1C3=C(C=CC=C3)C=C2)C4=CC=CC=C4
1.47,NA,NA,-4.55,-5.17,COC1=CC2=C(C=CC(=O)O2)C(OC)=C1
4.96,16.3,NA,-7.39,NA,CC1CC(C)(C)C2=C(C=C(C)C(=C2)C(C)=O)C1(C)C
3.11,NA,NA,5.8,-6.33,CCOC1=CC=C2NC(C)(C)CC(C)C2=C1
2.3,NA,NA,-6.94,NA,CC1=CC=C2OC(=O)C=CC2=C1
2.8,NA,NA,-6.92,NA,CCCCCC1=CC=CC(=O)O1
1.84,15.62,16.96,7.02,1.1,NC1=NC(=NC(N)=N1)C2=CC=CC=C2
2.19,NA,NA,3.42,-8.68,CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2
2.9,NA,NA,4.28,-8.68,CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1
1.78,NA,NA,-2.93,-5.08,COC1=C2OC(=O)C=CC2=CC3=C1OC=C3
3.61,NA,NA,NA,NA,CCN1C2=C(C=CC=C2)C3=C1C=CC(=C3)[N+]([O-])=O
1.11,NA,NA,4.16,-0.27,CN(CC1=CN=C(Cl)C=C1)\C(\C)=N\C#N
3.5,16.6,NA,-4.23,-6.45,CCOCN(C(=O)CCl)C1=C(CC)C=CC=C1C
3.53,16.18,18.57,-6.53,-6.98,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
2.8,NA,NA,-1.32,-6.88,CSC(=O)C1=CC=CC2=C1SN=N2
3.2,9.68,13.95,4.21,-1.8,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1
5.35,4.15,16.01,-3.59,NA,CC1(C)CCC(C)(C)C2=C1C=CC(=C2)C(=O)NC3=CC=C(C=C3)C(O)=O
2.6,14.63,16.02,6.74,0.47,CCNC1=NC(SC)=NC(NC(C)C)=N1
2.09,14.77,NA,4.57,NA,CNC(=O)OC1=CC(C)=C(C=C1)N(C)C
7.64,NA,NA,9.08,-3.01,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C3=C(O1)C=CC=C3
3.16,9.7,NA,NA,NA,COP(=S)(NC(C)C)OC1=C(C=C(C)C=C1)[N+]([O-])=O
3.08,NA,NA,8.83,1.03,ClC1=CC=C2OC3=C(C=CC=C3)N=C(N4CCNCC4)C2=C1
3.03,NA,NA,2,-7.37,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
1.47,12.84,NA,1.08,-3.75,COC1=CC=C(C=C1)C(O)(C2CC2)C3=CN=CN=C3
-0.9,9.82,12.2,-2.98,-3.65,OC[C@H]1O[C@@H](OC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O
1.81,14.44,15.79,6,-0.64,CCNC1=NC(NC(C)C)=NC(OC)=N1
2.2,14.48,15.84,4.2,-2.16,CCNC1=NC(NC(C)C)=NC(Cl)=N1
4.89,NA,NA,9.2,-1.81,CCCOC1=C(Br)C(C)=C(S1)C(=O)N2CCC(CC2)C3=CC(CN)=CC=C3F
5.67,3.39,5.56,-2.34,-2.63,OC(=O)C1=CC=CC=C1N2C=C(C(O)=O)C(=O)C3=C2C=C(Cl)C(NC4=C(F)C=C(F)C=C4Cl)=C3
2.94,NA,NA,1.95,-4.18,ClC1=CC(Cl)=C(C=C1)C2(CN3C=NC=N3)OCCO2
2.98,15.28,NA,-1.08,NA,O=C1CCCCCCCCCCCN1
3.96,NA,NA,-2.01,-9.96,CCOP(=S)(OCC)SCN1N=NC2=CC=CC=C2C1=O
4.22,NA,NA,1.94,-4.03,CO/C=C(/C(=O)OC)\C1=CC=CC=C1OC2=CC(OC3=CC=CC=C3C#N)=NC=N2
4.13,NA,NA,-3.75,-7.38,COC(=O)C(C)N(C(=O)CC1=CC=CC=C1)C2=C(C)C=CC=C2C
3.12,NA,NA,4.24,NA,C1=CC=C2C(C=CC3=C2C=CC=N3)=C1
4.53,NA,NA,-3.84,-4.44,CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC
3.24,NA,NA,-3.54,-3.98,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC
3.14,NA,NA,0.33,-0.27,COC1=CC(OC)=NC(OC2=CC=CC(OC3=NC(OC)=CC(OC)=N3)=C2C([O])=O)=N1
4.92,14.27,NA,-0.11,-4.63,ClC1=CC=C(C=C1)C2=C(NC(=O)C3=C(Cl)N=CC=C3)C=CC=C2
1.69,9.95,NA,-5.39,NA,CCC(C)N1C(=O)NC(C)=C(Br)C1=O
0.61,17.24,NA,8.85,-3.03,COC1=CC2=C(C=C1OC)[C@@]34CCN5CC6=CCO[C@H]7CC(=O)N2[C@H]3[C@H]7[C@H]6C[C@@H]45
2.73,13.75,14.91,-2.85,-3.33,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
2.22,16.24,NA,3.32,-4,CCCCC1=C(OS(=O)(=O)N(C)C)N=C(NCC)N=C1C
3.87,NA,NA,-0.38,NA,CC(C)N1C(SCN(C1=O)C2=CC=CC=C2)=NC(C)(C)C
3.27,18.61,NA,8.22,-8.05,CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1
1.78,NA,NA,7.62,2.06,O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)C4=NC=CC=N4
4.01,NA,NA,-0.6,-6.88,CN1C(=O)N(C(=O)C=C1C(F)(F)F)C2=CC(C(=O)OC(C)(C)C(=O)OCC=C)=C(Cl)C=C2
3.71,NA,NA,-0.33,NA,CC(C)N(CC1=CC=CC=C1)C(=O)C(C)(C)C
4.82,10.45,NA,-0.38,NA,CCC(C)NC1=C(C=C(C=C1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O
4.25,NA,NA,-6.59,-7.13,CCCCOC(=O)COC(=O)C1=CC=CC=C1C(=O)OCCCC
2.81,NA,NA,10.29,3.65,NC1=CC=C(C=C1)C(C2=CC=C(N)C=C2)=C3C=CC(=N)C=C3
5.77,NA,NA,2.88,-1.42,CCN(CCC#N)C1=CC=C(C=C1)N=NC2=C(Cl)C=C(C=C2Cl)[N+]([O-])=O
5.07,11.84,NA,-0.1,-4.53,OC1=CC=C2C=CC=CC2=C1N=NC3=CC=CC=C3
2.77,15.96,NA,-3.75,NA,NC(=O)N1C2=CC=CC=C2C=CC3=C1C=CC=C3
2.46,14.77,NA,NA,NA,CNC(=O)OC1=C2C=CC=CC2=CC=C1
1.8,9.7,13.95,4.28,-1.81,COC(=O)NC1=NC2=CC=CC=C2N1
2.05,14.76,NA,-4.95,NA,CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2
4.89,NA,NA,NA,NA,CCOP(=S)(OCC)SCSC1=CC=C(Cl)C=C1
1.51,13.24,NA,-2.13,-7.96,CC1=C(SCCO1)C(=O)NC2=CC=CC=C2
1.39,10.91,NA,-7.48,NA,CCC(Br)(CC)C(=O)NC(N)=O
4.01,10.6,NA,-0.41,NA,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(N)(=O)=O)C(F)(F)F
3.57,14.12,NA,-1.44,NA,CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1
2.7,NA,NA,9.37,-8.15,CN(C)/C=N/C1=CC=C(Cl)C=C1C
4.3,NA,NA,-9.17,NA,CCOP(=O)(OCC)OC(=CCl)C1=C(Cl)C=C(Cl)C=C1
1.11,NA,NA,-1.77,-6.17,NC1=C(Cl)C(=O)N(N=C1)C2=CC=CC=C2
4.54,NA,NA,9.2,-5.39,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2
3.09,13.87,NA,3.35,0.47,CC1=CC2=C3N(CC2)C(=O)[C@H](NC(=O)C4=CC=NC=C4)N=C(C5=CC=CC=C5)C3=C1
1.74,13.55,NA,3.75,3.05,NC1=CC2=C3N(CCC3=C1)C(=O)[C@H](NC(=O)C4=CC=CN=C4)N=C2C5=CC=CC=C5
0.16,10.42,NA,-6.56,NA,O=C1NC(=O)[C@@H]2CC=CC[C@H]12
-0.28,13.89,14.78,2.22,-0.77,NC1=NC(Cl)=NC2=C1N=CN2[C@H]3C[C@H](O)[C@@H](CO)O3
3.86,NA,NA,-1.19,-4.9,C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C
2.93,NA,NA,-4.67,-9.76,CC1(C)CON(CC2=C(Cl)C=CC=C2)C1=O
4.88,NA,NA,9.2,-1.06,CN(C)CCCN1C2=C(CCC3=C1C=C(Cl)C=C3)C=CC=C2
4.83,NA,NA,2.03,-6.96,CCCCCC(C)OC(=O)COC1=CC=C(Cl)C2=CC=CN=C12
1.46,15.06,17.56,-1.16,-4.29,COC1=CC2=C(C(OC)=C1OC)C3=CC=C(OC)C(=O)C=C3[C@H](CC2)NC(C)=O
2.02,13.86,18.49,-0.26,-3.3,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO
1.66,12.58,13.91,-3.33,-3.85,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
3.79,5.64,NA,-6.89,-7.13,OC1=C(C2CCCC3=C2C=CC=C3)C(=O)OC4=C1C=CC=C4
4.69,NA,NA,8.75,5.75,COC1=C(CN[C@H]2CCCN[C@H]2C3=CC=CC=C3)C=C(OC(F)(F)F)C=C1
4.55,2.78,NA,1.83,NA,CCC1=NN(C2CCCCC2)C3=C1C=CC(=C3)[C@]4(CC[C@@H](CC4)C(O)=O)C#N
3.72,14.2,14.82,1.71,-2.98,CC(C)(O)C1=CC=C(CNC(=O)C2=CC=CN=C2OC3=CC=C(F)C=C3)C=C1
