compound_name,SMILES,CAS,M [g/mol],experiment,Peak area,solv,Flow,Vendor,Mass Analyzer
3-fluoroaniline,Nc1cccc(F)c1,372-19-0,111,Esqu_50_pH7,0.013685068,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
3-hydroxyaniline (3-aminophenol),Nc1cccc(O)c1,591-27-5,109,Esqu_50_pH7,0.388419145,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
3-methoxyaniline,COc1cccc(N)c1,536-90-3,123,Esqu_50_pH7,0.858844029,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
3-methylaniline,Cc1cccc(N)c1,108-44-1,107,Esqu_50_pH7,0.310195297,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
3-nitroaniline,Nc1cccc(c1)[N+]([O-])=O,99-09-2,138,Esqu_50_pH7,0.152924466,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
4-aminoaniline,Nc1ccc(N)cc1,106-50-3,108,Esqu_50_pH7,0.601936463,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
4-aminobenzoic acid,Nc1ccc(cc1)C(O)=O,150-13-0,137,Esqu_50_pH7,0.275721056,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
4-aminopyridine,Nc1ccncc1,504-24-5,94,Esqu_50_pH7,0.53710494,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
4-chloroaniline (Summe beider Isotope),Nc1ccc(Cl)cc1,106-47-8,127,Esqu_50_pH7,0.205912465,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
4-Cyanoaniline (4-aminobenzonitrile),Nc1ccc(cc1)C#N,873-74-5,118,Esqu_50_pH7,0.191139479,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
4-fluoroaniline,Nc1ccc(F)cc1,371-40-4,111,Esqu_50_pH7,0.179341041,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
4-hydroxyaniline (4-aminophenol),Nc1ccc(O)cc1,123-30-8,109,Esqu_50_pH7,0.539418582,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
4-methoxyaniline,COc1ccc(N)cc1,104-94-9,123,Esqu_50_pH7,1,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
4-methylaniline,Cc1ccc(N)cc1,106-49-0,107,Esqu_50_pH7,0.392528812,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
4-nitroaniline,Nc1ccc(cc1)[N+]([O-])=O,100-01-6,138,Esqu_50_pH7,0.080886971,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
Aniline,Nc1ccccc1,62-53-3,93,Esqu_50_pH7,0.092103892,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
Pyridine,c1ccncc1,110-86-1,79,Esqu_50_pH7,0.003258791,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
sulfanilic acid,Nc1ccc(cc1)[S](O)(=O)=O,121-57-3,173,Esqu_50_pH7,0.003142427,"50%MeCN, pH = 7",50 uL/min,Bruker,ion trap
